nct_id,acronym,brief_title,is_anchor,anchor_label,overall_status,phases,study_type,enrollment,lead_sponsor,sponsor_class,elig_chars,elig_inclusion,elig_exclusion,min_age,sex,n_locations,n_officials,official_names,has_protocol,protocol_url,has_results,conditions,intervention_types,n_interventions,hr_pos,her2_neg,early_adjuvant,metastatic,in_scope,setting,quality_score,bucket
NCT01101438,,A Phase III Randomized Trial of Metformin vs Placebo in Early Stage Breast Cancer,False,,COMPLETED,PHASE3,INTERVENTIONAL,3649,Canadian Cancer Trials Group,NETWORK,9764,0,0,18 Years,ALL,344,1,"Pamela J. Goodwin, MD",True,https://cdn.clinicaltrials.gov/large-docs/38/NCT01101438/Prot_000.pdf,True,Breast Cancer,DRUG|OTHER,2,False,True,False,False,False,unspecified,10.0,other
NCT01272037,,"Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane With or Without Chemotherapy in Treating Patients With Invasive RxPONDER Breast Cancer",False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,5018,National Cancer Institute (NCI),NIH,10212,31,4,18 Years,FEMALE,1569,1,Kevin M Kalinsky,True,https://cdn.clinicaltrials.gov/large-docs/37/NCT01272037/Prot_SAP_000.pdf,True,Breast Ductal Carcinoma In Situ|Invasive Breast Carcinoma|Multicentric Breast Carcinoma|Multifocal Breast Carcinoma|Synchronous Bilateral Breast Carcinoma,DRUG|OTHER,7,False,True,True,False,False,early_adjuvant,10.0,other
NCT01674140,e3,S1207 Hormone Therapy With or Without Everolimus in Treating Patients With Breast Cancer,False,,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,1939,SWOG Cancer Research Network,NETWORK,8636,0,0,18 Years,ALL,1459,1,"Mariana Chavez-MacGregor, MD, MSc",True,https://cdn.clinicaltrials.gov/large-docs/40/NCT01674140/Prot_SAP_ICF_000.pdf,True,Breast Cancer,DRUG|OTHER,8,False,False,True,False,False,early_adjuvant,10.0,other
NCT02437318,SOLAR-1,Study Assessing the Efficacy and Safety of Alpelisib Plus Fulvestrant in Men and Postmenopausal Women With Advanced Breast Cancer Which Progressed on or After Aromatase Inhibitor Treatment.,False,,COMPLETED,PHASE3,INTERVENTIONAL,572,Novartis Pharmaceuticals,INDUSTRY,2683,10,10,18 Years,ALL,197,1,Novartis Pharmaceuticals,True,https://cdn.clinicaltrials.gov/large-docs/18/NCT02437318/Prot_002.pdf,True,Breast Cancer,DRUG,3,True,True,True,True,True,mixed,10.0,gold
NCT02513394,PALLAS,PALbociclib CoLlaborative Adjuvant Study,True,PALLAS,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,5796,"Alliance Foundation Trials, LLC.",OTHER,3436,20,13,18 Years,ALL,437,4,"Evanthia Galanis, MD|Erica Mayer, MD|Angela DeMichele, MD|Michael Gnant, MD",True,https://cdn.clinicaltrials.gov/large-docs/94/NCT02513394/Prot_SAP_000.pdf,True,Breast Cancer,DRUG,2,True,True,True,False,True,early_adjuvant,10.0,gold
NCT04191499,INAVO120,"A Study Evaluating the Efficacy and Safety of Inavolisib + Palbociclib + Fulvestrant vs Placebo + Palbociclib + Fulvestrant in Participants With PIK3CA-Mutant, Hormone Receptor-Positive, HER2-Negative, Locally Advanced or Metastatic Breast Cancer",False,,ACTIVE_NOT_RECRUITING,PHASE2|PHASE3,INTERVENTIONAL,325,Hoffmann-La Roche,INDUSTRY,2808,10,16,18 Years,ALL,135,1,Clinical Trials,True,https://cdn.clinicaltrials.gov/large-docs/99/NCT04191499/Prot_000.pdf,True,Breast Cancer,DRUG,4,True,True,True,True,True,mixed,10.0,gold
NCT01401959,,Trial of Eribulin in Patients Who Do Not Achieve Pathologic Complete Response (pCR) Following Neoadjuvant Chemotherapy,False,,COMPLETED,PHASE2,INTERVENTIONAL,127,"SCRI Development Innovations, LLC",OTHER,5233,6,6,18 Years,FEMALE,18,1,"Denise A Yardley, M.D.",True,https://cdn.clinicaltrials.gov/large-docs/59/NCT01401959/Prot_000.pdf,True,Metastatic Breast Cancer,DRUG,2,False,True,True,True,False,mixed,9.5,broad
NCT02040857,,"Palbociclib in Combination With Adjuvant Endocrine Therapy for Hormone Receptor Positive, HER2 Negative Invasive Breast Cancer",False,,COMPLETED,PHASE2,INTERVENTIONAL,162,Dana-Farber Cancer Institute,OTHER,3275,13,10,18 Years,ALL,10,1,"Erica Mayer, MD, MPH",True,https://cdn.clinicaltrials.gov/large-docs/57/NCT02040857/Prot_SAP_000.pdf,True,Breast Cancer,DRUG,2,True,True,True,False,True,early_adjuvant,9.5,gold
NCT02273973,,A Study of Neoadjuvant Letrozole + Taselisib Versus Letrozole + Placebo in Post-Menopausal Women With Breast Cancer (LORELEI),False,,COMPLETED,PHASE2,INTERVENTIONAL,334,"Genentech, Inc.",INDUSTRY,3506,11,20,18 Years,FEMALE,117,1,Clinical Trials,True,https://cdn.clinicaltrials.gov/large-docs/73/NCT02273973/Prot_000.pdf,True,Breast Cancer,DRUG|OTHER,3,True,True,True,False,True,early_adjuvant,9.5,gold
NCT02536742,PYTHIA,Palbociclib in Molecularly Characterized ER-positive/HER2-negative Metastatic Breast Cancer,False,,COMPLETED,PHASE2,INTERVENTIONAL,124,ETOP IBCSG Partners Foundation,NETWORK,4214,28,15,18 Years,FEMALE,19,1,"Luca Malorni, MD PhD",True,https://cdn.clinicaltrials.gov/large-docs/42/NCT02536742/Prot_000.pdf,True,Metastatic Breast Cancer,DRUG,2,True,True,True,True,True,mixed,9.5,gold
NCT04293393,CARABELA,Neoadjuvant Study Chemotherapy vs Letrozole + Abemaciclib in HR+/HER2- High/Intermediate Risk Breast Cancer Patients,False,,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,200,Spanish Breast Cancer Research Group,OTHER,7200,21,1,18 Years,FEMALE,28,3,Study Director|Study Director|Study Director,True,https://cdn.clinicaltrials.gov/large-docs/93/NCT04293393/Prot_000.pdf,True,Early Breast Cancer,DRUG,6,True,True,True,False,True,early_adjuvant,9.5,gold
NCT04436744,,"A Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Giredestrant Plus Palbociclib Compared With Anastrozole Plus Palbociclib for Postmenopausal Women With Estrogen Receptor-Positive and HER2-Negative Untreated Early Breast Cancer (coopERA Breast Cancer)",False,,COMPLETED,PHASE2,INTERVENTIONAL,221,Hoffmann-La Roche,INDUSTRY,3073,10,19,18 Years,FEMALE,65,1,Clinical Trials,True,https://cdn.clinicaltrials.gov/large-docs/44/NCT04436744/Prot_SAP_001.pdf,True,Early Breast Cancer,DRUG|PROCEDURE,4,False,True,True,False,False,early_adjuvant,9.5,other
